[DEBUG][2018-04-30 21:58:01,328][org.springframework.web.servlet.DispatcherServlet]Testing handler map [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping@5b5e2a19] in DispatcherServlet with name 'springmvc'
[DEBUG][2018-04-30 21:58:01,328][org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping]Looking up handler method for path /create
[DEBUG][2018-04-30 21:58:01,328][org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping]Found 1 matching mapping(s) for [/create] : [{[/create]}]
[DEBUG][2018-04-30 21:58:01,328][org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping]Returning handler method [public org.springframework.web.servlet.ModelAndView com.imut.controller.MyQuestionnaireController.createquestionnaire(java.lang.String,javax.servlet.http.HttpServletRequest)]
[DEBUG][2018-04-30 21:58:01,328][org.springframework.beans.factory.support.DefaultListableBeanFactory]Returning cached instance of singleton bean 'myQuestionnaireController'
[DEBUG][2018-04-30 21:58:01,328][org.springframework.web.servlet.DispatcherServlet]Testing handler adapter [org.springframework.web.servlet.mvc.HttpRequestHandlerAdapter@5ec2e16e]
[DEBUG][2018-04-30 21:58:01,328][org.springframework.web.servlet.DispatcherServlet]Testing handler adapter [org.springframework.web.servlet.mvc.SimpleControllerHandlerAdapter@702a6610]
[DEBUG][2018-04-30 21:58:01,328][org.springframework.web.servlet.DispatcherServlet]Testing handler adapter [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter@4c82fb7c]
[DEBUG][2018-04-30 21:58:01,328][org.springframework.web.servlet.DispatcherServlet]Last-Modified value for [/create] is: -1
[DEBUG][2018-04-30 21:58:01,328][org.springframework.web.method.support.HandlerMethodArgumentResolverComposite]Testing if argument resolver [org.springframework.web.method.annotation.RequestParamMethodArgumentResolver@16d2ab97] supports [class java.lang.String]
[DEBUG][2018-04-30 21:58:01,328][org.springframework.web.method.support.HandlerMethodArgumentResolverComposite]Testing if argument resolver [org.springframework.web.method.annotation.RequestParamMapMethodArgumentResolver@7474d888] supports [class java.lang.String]
[DEBUG][2018-04-30 21:58:01,328][org.springframework.web.method.support.HandlerMethodArgumentResolverComposite]Testing if argument resolver [org.springframework.web.servlet.mvc.method.annotation.PathVariableMethodArgumentResolver@4a7de3a0] supports [class java.lang.String]
[DEBUG][2018-04-30 21:58:01,328][org.springframework.web.method.support.HandlerMethodArgumentResolverComposite]Testing if argument resolver [org.springframework.web.servlet.mvc.method.annotation.PathVariableMapMethodArgumentResolver@6d88eb2d] supports [class java.lang.String]
[DEBUG][2018-04-30 21:58:01,329][org.springframework.web.method.support.HandlerMethodArgumentResolverComposite]Testing if argument resolver [org.springframework.web.servlet.mvc.method.annotation.MatrixVariableMethodArgumentResolver@484d65df] supports [class java.lang.String]
[DEBUG][2018-04-30 21:58:01,329][org.springframework.web.method.support.HandlerMethodArgumentResolverComposite]Testing if argument resolver [org.springframework.web.servlet.mvc.method.annotation.MatrixVariableMapMethodArgumentResolver@763d02a9] supports [class java.lang.String]
[DEBUG][2018-04-30 21:58:01,329][org.springframework.web.method.support.HandlerMethodArgumentResolverComposite]Testing if argument resolver [org.springframework.web.servlet.mvc.method.annotation.ServletModelAttributeMethodProcessor@55fdf22c] supports [class java.lang.String]
[DEBUG][2018-04-30 21:58:01,329][org.springframework.web.method.support.HandlerMethodArgumentResolverComposite]Testing if argument resolver [org.springframework.web.servlet.mvc.method.annotation.RequestResponseBodyMethodProcessor@7a9c4bc9] supports [class java.lang.String]
[DEBUG][2018-04-30 21:58:01,329][org.springframework.web.method.support.HandlerMethodArgumentResolverComposite]Testing if argument resolver [org.springframework.web.servlet.mvc.method.annotation.RequestPartMethodArgumentResolver@3008622d] supports [class java.lang.String]
[DEBUG][2018-04-30 21:58:01,329][org.springframework.web.method.support.HandlerMethodArgumentResolverComposite]Testing if argument resolver [org.springframework.web.method.annotation.RequestHeaderMethodArgumentResolver@28d2a5e6] supports [class java.lang.String]
[DEBUG][2018-04-30 21:58:01,329][org.springframework.web.method.support.HandlerMethodArgumentResolverComposite]Testing if argument resolver [org.springframework.web.method.annotation.RequestHeaderMapMethodArgumentResolver@76a019ec] supports [class java.lang.String]
[DEBUG][2018-04-30 21:58:01,329][org.springframework.web.method.support.HandlerMethodArgumentResolverComposite]Testing if argument resolver [org.springframework.web.servlet.mvc.method.annotation.ServletCookieValueMethodArgumentResolver@4be07f4b] supports [class java.lang.String]
[DEBUG][2018-04-30 21:58:01,329][org.springframework.web.method.support.HandlerMethodArgumentResolverComposite]Testing if argument resolver [org.springframework.web.method.annotation.ExpressionValueMethodArgumentResolver@34a9f9b4] supports [class java.lang.String]
[DEBUG][2018-04-30 21:58:01,329][org.springframework.web.method.support.HandlerMethodArgumentResolverComposite]Testing if argument resolver [org.springframework.web.servlet.mvc.method.annotation.SessionAttributeMethodArgumentResolver@7c7bc24d] supports [class java.lang.String]
[DEBUG][2018-04-30 21:58:01,329][org.springframework.web.method.support.HandlerMethodArgumentResolverComposite]Testing if argument resolver [org.springframework.web.servlet.mvc.method.annotation.RequestAttributeMethodArgumentResolver@329505b8] supports [class java.lang.String]
[DEBUG][2018-04-30 21:58:01,329][org.springframework.web.method.support.HandlerMethodArgumentResolverComposite]Testing if argument resolver [org.springframework.web.servlet.mvc.method.annotation.ServletRequestMethodArgumentResolver@238e6381] supports [class java.lang.String]
[DEBUG][2018-04-30 21:58:01,329][org.springframework.web.method.support.HandlerMethodArgumentResolverComposite]Testing if argument resolver [org.springframework.web.servlet.mvc.method.annotation.ServletResponseMethodArgumentResolver@62d532e9] supports [class java.lang.String]
